,username,to,text,date,retweets,favorites,mentions,hashtags,geo
1087275629391704064,sadashifukuda,,サウジアラビアで2名のMERS患者、ジェッダとリヤードで。 KSA: Two new coronavirus cases http://www.gdnonline.com/Details/471248/Two-new-coronavirus-cases#.XEWLeUvpdj0.twitter,2019-01-21 09:08:05+00:00,1,1,,,
1087225151572320261,MImimiKAaaY,,"Order Na po! AIM WORLD offers iPROTECT 24/7 a wearable technology that shields you from airborne bacteria and virus. Imagine if you can DISINTEGRATE airborne viruses and bacteria like MERS COV, CORONA VIRUSES,... https://www.facebook.com/100000448020641/posts/2255554327802813/",2019-01-21 05:47:30+00:00,0,0,,,
1087822549591961600,RibbonDiagrams,,5I08: Prefusion structure of a human coronavirus spike protein http://www.rcsb.org/pdb/explore.do?structureId=5I08,2019-01-22 21:21:21+00:00,0,0,,,
1087809697925787648,BGFinc,,"Are your calves struggling with viruses? There's a solution called FIRSTgro! Help your calves build immunity against rotavirus, coronavirus &amp; various others by entering our winter giveaway. Don't chicken out! For more information visit our website today http://bit.ly/2AiSaKV!",2019-01-22 20:30:17+00:00,1,0,,,
1087793855569842177,ProdromalStage,,What is Equine Coronavirus? - http://TheHorse.com,2019-01-22 19:27:20+00:00,0,0,,,
1087779327586881536,__coronavirus,,이 챕터를 다 끝내고 나면 초콜렛이 적당히 얼어있겠지? 그럼 뇸뇸뇸뇸하고 자야지（*´▽`*) 내 마지막 Rummy 초콜렛이 이렇게 바닥을 보이는구나,2019-01-22 18:29:36+00:00,0,0,,,
1087759953958449153,MicaylaKDunn,," Snow Day fun! Cannon is still fighting Coronavirus, so we are loving the extra snuggles! https://www.instagram.com/p/Bs8d0JjAyKhf0Qc4tPEhNnv-m6rDwh8bCmCru80/?utm_source=ig_twitter_share&amp;igshid=1uyuglayj7hzu",2019-01-22 17:12:37+00:00,0,1,,,
1087757377649168384,NCStateVetMed,,"New research from our equine team on coronavirus, an emerging pathogen associated with fever and enteric disease in adult horses, finds that it shares clinical features with Salmonella infections. https://goo.gl/zqVZKA",2019-01-22 17:02:23+00:00,2,7,,,
1087729919348621313,edithrodgers76,,What is Equine Coronavirus? https://thehorse.com/165259/what-is-equine-coronavirus/,2019-01-22 15:13:16+00:00,0,0,,,
1087729037429096453,trailboss_,,What is Equine Coronavirus? http://bit.ly/2U2T59E,2019-01-22 15:09:46+00:00,0,0,,,
1087727870422601728,thehorse,,What is Equine Coronavirus? http://dlvr.it/QxDlXc,2019-01-22 15:05:07+00:00,4,5,,,
1087705698849280000,RazasPorcinas,,Descubren un nuevo coronavirus llamado Síndrome de Diarrea Aguda Porcina (SADS-CoV). - https://razasporcinas.com/?p=178907&amp;utm_source=SocialAutoPoster&amp;utm_medium=Social&amp;utm_campaign=Twitter&amp;wpwautoposter=1548164221,2019-01-22 13:37:01+00:00,0,0,,,
1087693997697454080,__coronavirus,,0120 오로라블랙 리필 0122 쉐퍼 터콰이즈 리필 올해 정말 소분병 하나는 비울 수 있겠다,2019-01-22 12:50:32+00:00,0,0,,,
1087648296607334400,corona_schools,,"Dr. Ameyo Adadevoh was impeccable. ​ Dr. Adadevoh also provided staff with relevant information about the virus, procured protective gear and quickly contacted relevant officials. As a result of her report, the Nigerian government declared a...",2019-01-22 09:48:56+00:00,0,0,,,
1087648277464518656,corona_schools,,"Late Dr. Stella Ameyo Adadevoh (1956-2014), an alumna of Corona School, Yaba (now known as Corona School, Gbagada) where she attended from 1964-1968. She is known to have curbed a wider spread of the Ebola virus in Nigeria. ",2019-01-22 09:48:51+00:00,0,0,,,
1088132779135578113,virus_genome,,Full genome characterization of two novel Alpha-coronavirus species from Italian bats. http://dlvr.it/QxKXsc,2019-01-23 17:54:05+00:00,0,0,,,
1088041412296429568,SusieBlackmon,,What is Equine Coronavirus? – The Horse https://buff.ly/2Wc0l4P,2019-01-23 11:51:02+00:00,0,0,,,
1088003725267005440,WinelandsEquine,,What is Equine Coronavirus? https://thehorse.com/165259/what-is-equine-coronavirus/ #InternistOnTheRun @WinelandsEquine,2019-01-23 09:21:16+00:00,0,0,@WinelandsEquine,#InternistOnTheRun,
1087904639050235906,THPnews,,What is Equine Coronavirus? (The Horse) https://thehorse.com/165259/what-is-equine-coronavirus/,2019-01-23 02:47:32+00:00,0,0,,,
1087901917961834496,RazasPorcinas,,¿La enfermedad porcina coronavirus en Arabia Saudita? - https://razasporcinas.com/?p=6147&amp;utm_source=SocialAutoPoster&amp;utm_medium=Social&amp;utm_campaign=Twitter&amp;wpwautoposter=1548211003,2019-01-23 02:36:44+00:00,0,0,,,
1087885434288517121,4everequine,,What is Equine Coronavirus? https://thehorse.com/165259/what-is-equine-coronavirus/,2019-01-23 01:31:14+00:00,0,0,,,
1088566329487966208,RazasPorcinas,,Descubren un nuevo coronavirus llamado Síndrome de Diarrea Aguda Porcina (SADS-CoV). - https://razasporcinas.com/?p=178907&amp;utm_source=SocialAutoPoster&amp;utm_medium=Social&amp;utm_campaign=Twitter&amp;wpwautoposter=1548369412,2019-01-24 22:36:52+00:00,0,0,,,
1088552953554845697,ddoldworldblues,KatQuat,"sluni wurde nur 4 monate alt, corona virus :(.",2019-01-24 21:43:43+00:00,0,1,,,
1088552774139289606,AZKidNurse,,"Almost all sore throats are caused by viruses. I know most parents coming to see me for a solution don’t really want to hear that, but it’s true! Viral pharyngitis is regularly a symptom of adenovirus, rhinovirus, coronavirus, RSV, or other cold viruses. ",2019-01-24 21:43:00+00:00,0,1,,,
1088496656276832257,VUMCMolecPath,,"#MPTSeminar featuring @JenniferGribbl2 (of @DenisonLab) starts in one hour! MRB III 1220 - Don't miss out on ""Analysis of recombination in proofreading-deficient coronavirus using parallel sequencing"" #science #research @VI4Research",2019-01-24 18:00:00+00:00,1,2,@JenniferGribbl2 @DenisonLab @VI4Research,#MPTSeminar #science #research,
1088484082055548929,4everequine,,What is Equine Coronavirus? ,2019-01-24 17:10:02+00:00,0,1,,,
1088372442441998336,loveainienana,jinstantnoodles,"anywayy from the medical side of armytwt, the strains of coronavirus that are circulating rn are apparently ah1n1 and/or ah1n3 soooo y’all be careful bc these strains are literally a pain in the body, but it shall pass! stay hydrated! epsom salt baths helps with aches! ",2019-01-24 09:46:25+00:00,0,1,,,
1088298876262592512,RibbonDiagrams,,2KQW: SARS coronavirus-unique domain (SUD): Three-domain molecular architecture in solution and RNA binding. II: ... http://www.rcsb.org/pdb/explore.do?structureId=2KQW,2019-01-24 04:54:06+00:00,0,0,,,
1088256318367035395,PlayboyDoggyDog,, I need advice please!! Jazzygirl was diagnosed with coronavirus and her daughter died from FIP. Does this mean she's has the strain that turns into FIP and my other cats will all have it? Someone please talk to me,2019-01-24 02:04:59+00:00,3,1,,,
1088928792800780288,RazasPorcinas,,¿La enfermedad porcina coronavirus en Arabia Saudita? - https://razasporcinas.com/?p=6147&amp;utm_source=SocialAutoPoster&amp;utm_medium=Social&amp;utm_campaign=Twitter&amp;wpwautoposter=1548455821,2019-01-25 22:37:10+00:00,0,0,,,
1088859061058076672,virus_genome,,Selective Packaging in Murine Coronavirus Promotes Virulence by Limiting Type I Interferon Responses. http://dlvr.it/QxTkbp,2019-01-25 18:00:04+00:00,0,0,,,
1088843461053186048,typeVIpapers,,Selective Packaging in Murine Coronavirus Promotes Virulence by Limiting Type I Interferon Responses. http://dlvr.it/QxTWDk,2019-01-25 16:58:05+00:00,0,0,,,
1088843274356514816,penacamilo,,¿Les ha llegado este mensaje por WhatsApp?: Mira Corona celebra la semana de la cerveza regalando 24 Botellas gratis!. Me lo han enviado muchas veces y probablemente sea virus. Pilas!! No abran el enlace que lo acompaña.,2019-01-25 16:57:20+00:00,0,0,,,
1088840491888726016,hales912,,"she had toxoplasmosis and Corona virus which i believe is why she had seizures, and could've led to why she ended up with fluid in her lungs. the only thing they could do is drain the fluid but it would've came back. knowing she had seizures i couldn't put her through that pain",2019-01-25 16:46:17+00:00,0,0,,,
1088840142222225409,_travelsafe_,,Middle East Respiratory Syndrome Coronavirus (MERS-CoV) https://travelsafe.talkoftravel.nz/middle-east-respiratory-syndrome-coronavirus-mers-cov/,2019-01-25 16:44:54+00:00,0,0,,,
1088838359936421888,RazasPorcinas,,Las muestras de granja por Coronavirus dieron positivo en EE.UU.: 359 casos - https://razasporcinas.com/?p=9936&amp;utm_source=SocialAutoPoster&amp;utm_medium=Social&amp;utm_campaign=Twitter&amp;wpwautoposter=1548434268,2019-01-25 16:37:49+00:00,0,0,,,
1088656891431931904,RazasPorcinas,,Las muestras de granja por Coronavirus dieron positivo en EE.UU.: 359 casos - https://razasporcinas.com/?p=9936&amp;utm_source=SocialAutoPoster&amp;utm_medium=Social&amp;utm_campaign=Twitter&amp;wpwautoposter=1548391003,2019-01-25 04:36:43+00:00,0,0,,,
1088636347412148225,mizuho73700856,,"Purple Corona, Oh Yeah! Taken by Narkus Varik on January 24, 2019 @Tromsø, Norway. 1/2. Pure art to be around Tromsø these days. Some of fantastic Solar Minimum purple auroras together with the moonlit landscapes, there will be some Aurora Virus spread around these days. ",2019-01-25 03:15:05+00:00,0,3,,,
1088624462017253376,LucerneFarms,,"Learn about equine coronavirus, a highly contagious virus, and why it's discovery impacts your horse in this month's issue of The Horse! ",2019-01-25 02:27:52+00:00,0,0,,,
1088603996636545025,MicaylaKDunn,,This little guy has had a rough week! We are ready for this Coronavirus to take a hike! https://www.instagram.com/p/BtCdozglqIoN5MhopmyF1fqaoRtFd_oJrXdBuk0/?utm_source=ig_twitter_share&amp;igshid=ztt541p5b2gs,2019-01-25 01:06:32+00:00,0,1,,,
1089227755986784256,dommajeur,TendsMoiLaPatte,A condition de ne pas avoir d'autres #chat... idem coronavirus calicivirus... et éviter qu'il sorte pour ne pas contaminer les autres matoux... ,2019-01-26 18:25:08+00:00,0,0,,#chat,
1089198781592158212,NHF_Magazine,,"We should humbly accept our own failures in preventing introduction, establishment of PED, Seneca Valley Virus, delta coronavirus and other diseases, which have entered the U.S. and now reside as endemic pathogens. @CLJDVM #AfricanSwineFever https://www.nationalhogfarmer.com/livestock/african-swine-fever-what-we-know-and-why-we-must-stay-vigilant",2019-01-26 16:30:00+00:00,4,5,@CLJDVM,#AfricanSwineFever,
1089088886846959616,megacansevilla,,"y coronavirus. NECESITA AYUDA ECONÓMICA, estamos completamente ahogadas y esto nos hunde del todo. Él merece la pena, todos la merecen, pero os suplico que difundáis todo lo que podáis porque de verdad que no podemos más. Está en Sevilla. CUENTA CAIXA 2100 7821 7102 0005 5737 ",2019-01-26 09:13:19+00:00,4,3,,,
1089076967310327808,megacansevilla,,"o le ha dado exactamente igual. Lo he llamado Truco, está muy mal, tiene parvovirosis y corona virus, es un bebé de unos 5 meses, mastín. Está ingresado y sólo se puede esperar, sus veterinarios harán todo lo posible por él. Por dios os imploro ayuda, la semana pasada ",2019-01-26 08:25:57+00:00,1,0,,,
1089065568982966272,faakto,,http://defaakto.com/2018/10/05/outbreak-coronavirus-saudi-arabia/ #SaudiArabia #outbreak #coronavirus,2019-01-26 07:40:40+00:00,0,0,,#SaudiArabia #outbreak #coronavirus,
1089469197002764289,Libellula_CYJ,JBemybaby01,Coronavirus แบบที่เจอเชื้อในค้างคาว ฮิๆ,2019-01-27 10:24:32+00:00,0,0,,,
1089346967233286144,PlayboyDoggyDog,torrytonks,Hey pal! I am sooo sorry for your loss. Jazzygirls kitten died from FIP three years ago. I wish they would find a cure soon because now all my cats have coronavirus and not the benign form. Thanks for replying ,2019-01-27 02:18:50+00:00,0,1,,,
1089974562878414849,XxQueen_KarmaxX,ChelseaHouska,I know how this is my brother passed it on to my son he ended us with RSV coronavirus and rhino virus all at once then he got better and now he had the flu,2019-01-28 19:52:41+00:00,0,0,,,
1089951916954669058,DanielUribeF,,"Síndrome respiratorio agudo grave (SARS): causado x un Coronavirus Complicaciones ppales: neumonía, falla respiratoria, cardíaca y hepática Apareció x 1ra vez en China en Nov/2002, en pocos meses, se propagó mundialmente CC: semejante a Influenza Sin ningún reporte desde 2004 ",2019-01-28 18:22:41+00:00,2,11,,,
1090350227968667649,Cat_MarsEchelon,PlayboyDoggyDog,Can ANYONE help answer @PlayboyDoggyDog question re coronavirus &amp; FIP?? Any vets following me please take a moment &amp; contact PLEASE RT!!! ,2019-01-29 20:45:26+00:00,0,0,@PlayboyDoggyDog,,
1090331204036034560,silviaromera1,,"DIFUNDO BUSCAN ADOPCIÓN Estos 3 cachorros de 10 meses, Dos hembras y un macho. Sacados de la perrera San Antón en lista de sacrificio. Tenían coronavirus y tuvieron que ir a una casa de acogida aislados. Ya se... https://www.facebook.com/silvia.romera.39/posts/2290858834259177",2019-01-29 19:29:51+00:00,2,0,,,
1090289719060168704,GalindoOsuel,,"El síndrome respiratorio agudo severo (SRAS) (en inglés: Severe Acute Respiratory Syndrome, SARS) es una enfermedad respiratoria viral causada por un coronavirus, llamado coronavirus asociado al SRAS (SRAS-CoV). @DanielUribeF",2019-01-29 16:45:00+00:00,0,0,@DanielUribeF,,
1090264498273841154,FluTrackers,,FluTrackers Coronavirus MERS Case List updated https://flutrackers.com/forum/forum/novel-coronavirus-ncov-mers-2012-2014/146270-case-list-of-moh-who-novel-coronavirus-mers-announced-cases,2019-01-29 15:04:47+00:00,0,0,,,
1090257510781669376,angelpeerez_,,"Ya me tienen los huevos llenos con su virus de las 24 cervezas de Corona, entiendan que en ningún sitio regalan cerveza jajsjs",2019-01-29 14:37:01+00:00,0,5,,,
1090254778884534273,rsnncllx_,,"Beware of this seller, kinausap ko sya sa situation ni Pepper nung nadiagnosed na may parvo and corona virus tapos sabi ko ibabalik ko na lang yung dog sa kanya kasi as of today 5k+ na nagastos ko sa hospital bills ng aso, kahit yung refund na lang na 7700, help ko na lang sa +++ ",2019-01-29 14:26:09+00:00,5,3,,,
1090247637499027456,FluTrackers,,"Saudi Arabia - New coronavirus MERS case: 38-year-old male in Wadi Aldwasir city, Riyadh region https://flutrackers.com/forum/forum/novel-coronavirus-ncov-mers-2012-2014/saudi-arabia-coronavirus/806180-saudi-arabia-2019-mers-epiwk-5 h/t Shiloh",2019-01-29 13:57:47+00:00,1,1,,,
1090246902489202689,FluTrackers,,"Oman - MoH: Four people diagnosed with Coronavirus in Oman - January 29, 2019 https://flutrackers.com/forum/forum/novel-coronavirus-ncov-mers-2012-2014/oman-coronavirus/806166-oman-moh-four-people-diagnosed-with-coronavirus-in-oman-january-29-2019 h/t tetano",2019-01-29 13:54:52+00:00,1,1,,,
1090210447507292161,GDNonline,,Four people diagnosed with coronavirus in Oman #Oman #coronavirus http://www.gdnonline.com/Details/472462/Four-people-diagnosed-with-Coronavirus-in-Oman,2019-01-29 11:30:00+00:00,0,0,,#Oman #coronavirus,
1090110374156718080,KeystoneSymp,,Dr Malik Peiris @HKUniversity: Next #pandemic is likely to be a #coronavirus like #MERS. #VKSpandemic,2019-01-29 04:52:21+00:00,0,1,@HKUniversity,#pandemic #coronavirus #MERS #VKSpandemic,
1090086838142988289,TakeThatCDC,BlueLionBlog,"So are a million other viruses that I'm not asking about. I am NOT asking about respiratory syncytial virus, parainfluenza virus, rhinovirus, coronavirus, adenovirus, adeno-associated virus, human metapneumovirus, or human parechovirus. I'M ASKING ABOUT INFLUENZA SPECIFICALLY",2019-01-29 03:18:49+00:00,0,2,,,
1090064316668301313,Ammar62214014,,"""Countrywide Survey for MERS-Coronavirus Antibodies in Dromedaries and Humans in Pakistan October 2018Virologica Sinica DOI: 10.1007/s12250-018-0051-0 Project: ""One Health- Pakistan"" https://www.ncbi.nlm.nih.gov/pubmed/?term=Countrywide+Survey+for+MERS-Coronavirus+Antibodies+in+Dromedaries+and+Humans+in+Pakistan",2019-01-29 01:49:20+00:00,0,1,,,
1090043765874720768,Moe_virus,,"En vez de liberalizar el sector del taxi podían liberalizar La Corona, que haya tantos reyes como quiera el mercado a ver si así nos sale más barato y trabajan más.",2019-01-29 00:27:40+00:00,0,1,,,
1090040498453123074,Corona_Cande,,[28/1 9:11 PM] : Mi mamá me dijo que tenga cuidado que anda un Virus que te ataca los intestinos [28/1 9:12 PM]: Mientras sean bacterias y no un changuito Jajajajajajajjajajaja,2019-01-29 00:14:41+00:00,0,12,,,
1090738424523427840,MartinaSisters,CantabriaFelina,"Un test de coronavirus o test de Rivalta positivo no diagnostican Pif. Son varias piezas de puzzle y si no encajan TODAS, por mi experiencia de más de 70 casos ya, no es Pif. Proteinograma, bioquímica completa, RT-PCR al líquido(si hay), eco y test IFI. Y con síntomas claros.",2019-01-30 22:28:00+00:00,0,2,,,
1090689157377204226,uncglobalhealth,,"Want to learn more about #coronavirus? Curious about what this even is? Join us as we host Dr. Timothy Sheahan of @UNCpublichealth this Friday, Feb. 1, at 8:30 a.m. in Bioinformatics 1131. And see the full list of our upcoming speakers: https://globalhealth.unc.edu/education/friday-conference-series/",2019-01-30 19:12:13+00:00,0,2,@UNCpublichealth,#coronavirus,
1090655692917215233,unccfar,,"Join us for ""Broad Spectrum Antivirals to Prevent Coronavirus Epidemic Disease"" with our own Timothy Sheahan We will see you Friday at 8:30 in Bioinformatics 1131! Want to catch up on our previous Friday Morning Conferences? Visit our video archives at http://unccfar.org/friday-infectious-disease-id-conference/",2019-01-30 16:59:15+00:00,0,1,,,
1090602165322870784,Albinovet,,"Inflammatory mediators in the mesenteric lymph nodes, site of a possible intermediate phase in the immune response to feline coronavirus and the pathogenesis of #FIP? The study provides evidence for TLR involvement in the response to feline coronavirus. https://buff.ly/2CXJBFF",2019-01-30 13:26:33+00:00,0,1,,#FIP,
1090588547395006465,NykomaHamilton,,Oh if only had coronavirus for whole thing! Poor snooty person,2019-01-30 12:32:26+00:00,0,0,,,
1090488227029544961,megacansevilla,,"y de residencia eran una locura a pesar de la ayuda de la gente que nos apoyáis. Lo pasamos mal y tuvimos miedo pero era impensable dejar a Truco allí solito, vomitando, sabiendo que la vida se le iba enfermo de parvo y corona virus. Cuando dedicas tu vida a este mundo ves",2019-01-30 05:53:48+00:00,0,0,,,
1091052312544595968,MarkianHawryluk,,Antibodies from SARS survivors show mimicry defense tactics against the respiratory coronavirus ,2019-01-31 19:15:16+00:00,0,0,,,
1091023193706557440,reneroblesce,,Unexpected Receptor Functional Mimicry Elucidates Activation of Coronavirus Fusion ,2019-01-31 17:19:34+00:00,0,0,,,
1091019061348118528,genphys,,An unexpected mode of action for an antibody - +GENERAL PHYSICS LABORATORY (GPL) Studies of human monoclonal antibodies isolated from survivors of coronavirus-induced severe acute respiratory syndrome (SARS) or... https://www.genphys.com/biochemistry/an-unexpected-mode-of-action-for-an-antibody,2019-01-31 17:03:09+00:00,0,0,,,
1091012064976396288,uwmnewsroom,,Antibodies from patients who have survived SARS show an unexpected defense tactic against the #coronavirus. Such research may help in efforts to find ways to prevent or treat the often deadly lung infection @veeslerlab https://bit.ly/2BcKvy5,2019-01-31 16:35:20+00:00,2,3,@veeslerlab,#coronavirus,
1090970088352694277,FluTrackers,,Saudi Arabia - 2 new coronavirus MERS cases announced today https://flutrackers.com/forum/forum/novel-coronavirus-ncov-mers-2012-2014/saudi-arabia-coronavirus/806180-saudi-arabia-2019-mers-epiwk-5?p=806347#post806347 h/t Shiloh,2019-01-31 13:48:32+00:00,0,0,,,
1090941827363074049,dinucci_paolo,SkyTG24,che una nuova modificazione del corona virus?,2019-01-31 11:56:15+00:00,0,0,,,
