,username,to,text,date,retweets,favorites,mentions,hashtags,geo,new date
1219042339814952960,nonamehkcitizen,,2020-01-20 02:??:?? Beijing Municipal Health Commission of Daxing District announced: 2 confirmed on #WuhanPneumonia #coronavirus (#2019-nCoV) 北京大兴区衛健委は発表しました： #武漢肺炎 #コロナウイルス(＃2019-nCoV)2名は初確認,2020-01-19 23:41:57+00:00,0,0,,#WuhanPneumonia #coronavirus,,2020-1-19
1219041058929172480,mariacsegovia,ZulmaCucunuba,"Si quieres conocer sobre el nuevo virus descubierto en China y sus implicaciones, lee este hilo #coronavirus #2019Cov",2020-01-19 23:36:51+00:00,14,24,,#coronavirus #2019Cov,,2020-1-19
1219040569386848256,W7VOA,,"According to health officials in Wuhan, #China, 136 new cases of the #coronavirus emerged during the weekend.",2020-01-19 23:34:55+00:00,48,37,,#China #coronavirus,,2020-1-19
1219039926680834048,RodneyRohde,,Update on #Wuhan #coronavirus outbreak... https://lnkd.in/edK6U6u,2020-01-19 23:32:21+00:00,0,1,,#Wuhan #coronavirus,,2020-1-19
1219039877263589376,MicrobesInfect,,"Number of cases of novel #coronavirus in China has escalated, with #Wuhan now reporting ~200 people infected. Confirmed case in Shenzhen &amp; unconfirmed cases in Beijing &amp; Shanghai add to evidence that the virus can be transmitted from person to person.",2020-01-19 23:32:10+00:00,21,20,,#coronavirus #Wuhan,,2020-1-19
1219039670870429696,marykingsley11,TheDailySeeker,#coronavirus #Wuhan,2020-01-19 23:31:20+00:00,0,1,,#coronavirus #Wuhan,,2020-1-19
1219039634434342912,SHIMADEN,nhk_kokusai,春節で観光客がたくさん日本に来るわけだよね。その中に感染者もいる可能性が高いわけだよね。 #coronavirus ,2020-01-19 23:31:12+00:00,0,1,,#coronavirus,,2020-1-19
1219038820701802497,XavierAbadMdG,greg_folkers,"A #Guangdong va ser on va treure el cap el #SARS #coronavirus el 2002. I ara arriba el #2019nCoV. TOT es repeteix, en un cercle sense principle ni fi.",2020-01-19 23:27:58+00:00,0,0,,#Guangdong #SARS #coronavirus #2019nCoV,,2020-1-19
1219036769431113728,greg_folkers,,.@statnews by @HelenBranswell -- #China reports sharp rise in cases of novel virus amid growing concerns of person-to-person transmission #coronavirus #nCoV #Wahun http://bit.ly/36fnF5S,2020-01-19 23:19:49+00:00,1,1,@statnews @HelenBranswell,#China #coronavirus #nCoV #Wahun,,2020-1-19
1219035394399821826,greg_folkers,,#China: Guangdong Provincial Health Committee -- First confirmed case of #pneumonia in Guangong province (in Shenzen) with imported new #coronavirus infection #nCoV #Wahun ht @cmyeaton ht @crof http://bit.ly/365qshT,2020-01-19 23:14:21+00:00,7,4,@cmyeaton @Crof,#China #pneumonia #coronavirus #nCoV #Wahun,,2020-1-19
1219034980061499392,microRNApro,,"https://link.springer.com/article/10.1007%2Fs00705-019-04470-z Food energy-dependent miRNA biogenesis biophysically constrains viral latency across kingdoms, but theorists still debate whether a specific microRNA antagonist could be used as a potential anti-viral therapy against PHEV and other #coronavirus infections",2020-01-19 23:12:42+00:00,0,0,,#coronavirus,,2020-1-19
1219034893142888450,karmanomad,,"Over the weekend the number of detected #coronavirus cases in #Wuhan jumped by 136 cases with one new death reported. Of these, three are critically ill. New cases have also been reported for the first time outside the city: two in Beijing and one in Shenzhen.",2020-01-19 23:12:21+00:00,2,4,,#coronavirus #Wuhan,,2020-1-19
1219034733012754432,ManuelGracian,,Nuevo #coronavirus @WHO @pahowho,2020-01-19 23:11:43+00:00,1,0,@WHO @pahowho,#coronavirus,,2020-1-19
1219034673885483008,V2019N,,"""Cases elsewhere in #China to be expected at this point if 3 cases have been exported internationally there are bound to be cases in other cities in China. With Chinese New Year Jan. 25 there are grave concerns the #coronavirus will spread rapidly. #nCoV",2020-01-19 23:11:29+00:00,2,4,,#China #coronavirus #nCoV,,2020-1-19
1219033920622284800,robert__gibbons,WHO,"Don't mean to interrupt re-litigating Qaddafi & #Libya's inability to avoid a few Shays' Rebellions, but this #coronavirus thread might yet interest markets: 139 new cases in 2 days &amp; just how capable/willing are various nations ""to continue preparedness activities"". #OOTT #oil",2020-01-19 23:08:29+00:00,2,2,,#Libya #coronavirus #OOTT #oil,,2020-1-19
1219033419448930304,greg_folkers,,".@CIDRAP @lisaschnirring : #Wuhan #nCoV outbreak quadruples, spreads within China #coronavirus http://bit.ly/30Cwl55",2020-01-19 23:06:30+00:00,5,3,@CIDRAP @lisaschnirring,#Wuhan #nCoV #coronavirus,,2020-1-19
1219033401887424514,Thueringen_,,Das neue #CoronaVirus breitet sich aus . . . ,2020-01-19 23:06:26+00:00,0,0,,#CoronaVirus,,2020-1-19
1219033357104738305,V2019N,HelenBranswell,"“There are going to be lots more cases as testing catches up. All over #China and neighboring countries,” Frieman said. “I think that with the massive travel coming up for the lunar New Year it’s pretty scary. And we will see cases in the U.S. from travel,” he added. #coronavirus ",2020-01-19 23:06:15+00:00,2,5,,#China #coronavirus,,2020-1-19
1219032405425651713,RosemaryKilleen,WHO,THREAD #coronavirus ,2020-01-19 23:02:28+00:00,0,0,,#coronavirus,,2020-1-19
1219031705140498432,microRNApro,,Watching pseudoscientists fail to link what is known to all serious scientists about viral predation in #Wuhan causes more #coronavirus fear than most intelligent people ever considered. They thought Democrats and other hate-mongers were paying attention. https://www.ncbi.nlm.nih.gov/pubmed/?term=microRNA+coronavirus,2020-01-19 22:59:41+00:00,0,0,,#Wuhan #coronavirus,,2020-1-19
1219031096110800897,WHO,,"WHO is proposing studies on the novel #coronavirus (2019-nCoV) that can be done in #China and elsewhere to better understand transmission, risk factors, and where the virus is. These studies take time and resources. Some of these studies are being undertaken already.",2020-01-19 22:57:16+00:00,82,144,,#coronavirus #China,,2020-1-19
1219030629683269638,AnalyticaGlobal,,"Beijing has confirmed that for the first time, two people have been diagnosed with the #coronavirus. They have a history of traveling to Wuhan where most of the coronavirus-related #pneumonia cases have occurred. #Flu",2020-01-19 22:55:25+00:00,0,0,,#coronavirus #pneumonia #Flu,,2020-1-19
1219030527983915011,WHO,,"As more novel #coronavirus (2019-nCoV) cases are identified and more analysis undertaken, we will get a clearer picture of disease severity and transmission patterns. We will update and expand our guidance as we learn more. ",2020-01-19 22:55:01+00:00,77,134,,#coronavirus,,2020-1-19
1219030456915591174,LaSintesisMx,,La OMS declaró alerta mundial por el #coronavirus. Algunos científicos aseguran que el número de personas infectadas es mayor a las cifras oficiales ,2020-01-19 22:54:44+00:00,4,12,,#coronavirus,,2020-1-19
1219030216057769994,WHO,,"WHO is constantly analyzing data on the novel #coronavirus (2019-nCoV) as we receive it, and working closely with global networks of experts on a range of topics. ",2020-01-19 22:53:46+00:00,58,117,,#coronavirus,,2020-1-19
1219030089641406464,mtwolfinger,,"Thanks to the rapid availability of #Wuhan #nCov sequences, here is a prediction of evolutionarily conserved cis-acting #RNAs in the first 500nt. As expected, many structurally homologous elements to #SARS #coronavirus https://doi.org/10.6084/m9.figshare.11659575 #China #CoV",2020-01-19 22:53:16+00:00,12,32,,#Wuhan #nCov #RNAs #SARS #coronavirus #China #CoV,,2020-1-19
1219029891737378817,WHO,,"WHO urges countries to continue preparedness activities for the novel #coronavirus (2019-nCoV), and continue sharing of information. Speedy information sharing has already had a positive impact on the response. ",2020-01-19 22:52:29+00:00,111,160,,#coronavirus,,2020-1-19
1219029856589111297,vlifschitz1,,#epidemiology #Coronavirus ,2020-01-19 22:52:20+00:00,0,0,,#epidemiology #Coronavirus,,2020-1-19
1219029545174519808,aolusiji,,Q: What can I do to protect myself from #coronavirus? A: http://bit.ly/2tMEBmu,2020-01-19 22:51:06+00:00,0,0,,#coronavirus,,2020-1-19
1219029418800226304,WHO,,"An animal source seems the most likely primary source of this novel #coronavirus (2019-nCoV) outbreak, with some limited human-to-human transmission occurring between close contacts. ",2020-01-19 22:50:36+00:00,172,262,,#coronavirus,,2020-1-19
1219029274746925056,CGTNOfficial,,"Beijing has confirmed that for the first time, two people have been diagnosed with the #coronavirus. They have a history of traveling to Wuhan where most of the coronavirus-related #pneumonia cases have occurred. #Flu",2020-01-19 22:50:02+00:00,25,76,,#coronavirus #pneumonia #Flu,,2020-1-19
1219028968407556098,WHO,WHO,WHO has issued advice for individuals on how to protect themselves and others from the novel #coronavirus (2019-nCoV) ,2020-01-19 22:48:49+00:00,295,371,,#coronavirus,,2020-1-19
1219028186174042113,AnalyticaGlobal,,"#China has reported to WHO 139 new cases of the novel #coronavirus (2019-nCoV) in #Wuhan, #Beijing and #Shenzhen over the past two days. This is the result of increased searching and testing for 2019-nCoV among people sick with respiratory illness.",2020-01-19 22:45:42+00:00,1,2,,#China #coronavirus #Wuhan #Beijing #Shenzhen,,2020-1-19
1219028183472902144,WHO,WHO,"WHO has provided advice to countries on how to identify people sick with the novel #coronavirus (2019-nCoV), how to care for them, and how to prevent spread. ",2020-01-19 22:45:42+00:00,177,256,,#coronavirus,,2020-1-19
1219027953033474048,liu_yulun,,#Beijing confirmed 2 imported cases of #2019-nCoV from #Wuhan #China #coronavirus https://m.weibo.cn/status/4462638756717942,2020-01-19 22:44:47+00:00,1,0,,#Beijing #Wuhan #China #coronavirus,,2020-1-19
1219027890454573056,XavierAbadMdG,,"Aqui el ""STILL"" és realment el quid. ""Preventable"" dubto molt que ho sigui, sense #vacuna. Però ""controlable"" si coneixem la font inicial, i la via de transmissió, SÍ. #coronavirus #pneumonia #Wuhan",2020-01-19 22:44:32+00:00,0,1,,#vacuna #coronavirus #pneumonia #Wuhan,,2020-1-19
1219027645201047555,WHO,WHO,"For the first time, there are novel #coronavirus (2019-nCoV) cases reported outside of #Wuhan, within #China . These cases were identified because of searching and testing for cases outside Wuhan.",2020-01-19 22:43:33+00:00,309,352,,#coronavirus #Wuhan #China,,2020-1-19
1219026600890699777,XavierAbadMdG,,"""...epidemic situation is still...controllable. However, the source of the new type of #coronavirus has not been found, the transmission of the epidemic has not been fully grasped, and the mutation of the virus still needs to be closely monitored."" #Wuhan https://afludiary.blogspot.com/2020/01/china-national-health-commission.html",2020-01-19 22:39:24+00:00,0,0,,#coronavirus #Wuhan,,2020-1-19
1219026530636091392,WHO,,"#China has reported to WHO 139 new cases of the novel #coronavirus (2019-nCoV) in #Wuhan, #Beijing and #Shenzhen over the past two days. This is the result of increased searching and testing for 2019-nCoV among people sick with respiratory illness.",2020-01-19 22:39:07+00:00,3371,4031,,#China #coronavirus #Wuhan #Beijing #Shenzhen,,2020-1-19
1219026514781638656,PulmaoSA,," #Tipoftheday in #Pneumologia: The Wuhan #nCoV #pneumonia outbreak quadruples, spreads within #China #http://ow.ly/NWK030qaECG via @cidrap #coronavirus #pneumologista",2020-01-19 22:39:04+00:00,2,2,@CIDRAP,#Tipoftheday #Pneumologia #nCoV #pneumonia #China #coronavirus #pneumologista,,2020-1-19
1219025186244087809,V2019N,ProMED_mail,In this update: -Laboratory testing available - media report -WHO Interim Guidance on Laboratory testing for #nCoV2019 in suspected human cases -Diagnostic detection of #Wuhan #coronavirus by real-time RT-PCR -Japan: Detection of WN-Human1 sequence from clinical specimen. ,2020-01-19 22:33:47+00:00,10,6,,#nCoV2019 #Wuhan #coronavirus,,2020-1-19
1219025070942670849,ShanghaiEye,,#Shanghai #Health Commission said on Sunday it has stepped up screening for suspected #coronavirus related pneumonia. https://www.shanghaieye.com.cn/shanghai-intensifies-screening-for-suspected-cases-on-coronavirus/,2020-01-19 22:33:19+00:00,0,0,,#Shanghai #Health #coronavirus,,2020-1-19
1219022471602425857,RNBreakfast,,Is the #coronavirus discovered in China now passing from human to human? We speak with Dr Irani Thevarajan of @TheDohertyInst,2020-01-19 22:23:00+00:00,0,0,@TheDohertyInst,#coronavirus,,2020-1-19
1219021369607958528,Tim52184057,,Coronavirus spreading in China. It's like a flu. Sounds like upto 2000 people could be infected. Think the Plague App game.. one day something will be engineered to spread super fast and kill quick after two week incubation. #coronavirus #qanon,2020-01-19 22:18:37+00:00,1,1,,#coronavirus #qanon,,2020-1-19
1219021221536231425,PneumoniaWuhan,,Avian Flu Diary: Guangdong Province Confirms 1st Novel Coronavirus Case http://dlvr.it/RNM84v #chinapneumonia #coronavirus #nCov2019,2020-01-19 22:18:02+00:00,0,0,,#chinapneumonia #coronavirus #nCov2019,,2020-1-19
1219020857005289472,microRNApro,AngrierWHStaff,The virus-driven degradation of mRNA has been the biggest threat to national security since before the time that it was reported for comic relief in this interview from 6/1/2007. http://www.cc.com/video-clips/sz2odd/the-daily-show-with-jon-stewart-greg-bear Watch what happens with the new #coronavirus from #Wuhan.,2020-01-19 22:16:35+00:00,0,0,,#coronavirus #Wuhan,,2020-1-19
1219020206372048896,imerlot555,NHKWORLD_News,#coronavirus new case 20.1.2020 the virus had increased by 136 over the weekend to 198.,2020-01-19 22:14:00+00:00,0,0,,#coronavirus,,2020-1-19
1219019976889315328,XavierAbadMdG,Laurie_Garrett,"Es consolida la propagació d'aquest nous #coronavirus o estem detectant més i millor? Probablement les dues coses, però un virus q es propaga sempre ha de preocupar. #Wuhan #pneumonia #salutpublica #OneHealth",2020-01-19 22:13:05+00:00,1,4,,#coronavirus #Wuhan #pneumonia #salutpublica #OneHealth,,2020-1-19
1219019212942761984,PneumoniaWuhan,,CHINA'S NATIONAL HEALTH COMMISSION SAYS SOURCE OF THE NEW CORONAVIRUS HAS ... http://dlvr.it/RNM7LM #chinapneumonia #coronavirus #nCov2019,2020-01-19 22:10:03+00:00,3,2,,#chinapneumonia #coronavirus #nCov2019,,2020-1-19
1219015574015152129,chrishendel,chrishendel,"Update on the #Wuhan #nCoV outbreak via @lisaschnirring @CIDRAP just now Wuhan nCoV outbreak quadruples, spreads within China http://www.cidrap.umn.edu/news-perspective/2020/01/wuhan-ncov-outbreak-quadruples-spreads-within-china #coronavirus #China",2020-01-19 21:55:35+00:00,2,2,@lisaschnirring @CIDRAP,#Wuhan #nCoV #coronavirus #China,,2020-1-19
1219014215207276544,V2019N,,Osterholm of @CIDRAP said the new developments in the outbreak fit w/ recent prediction from @imperialcollege that #Wuhan probably has many more cases than previously reported &amp; sustained transmission shouldn't be ruled out. #coronavirus #nCoV #nCoV2019 http://www.cidrap.umn.edu/news-perspective/2020/01/wuhan-ncov-outbreak-quadruples-spreads-within-china,2020-01-19 21:50:11+00:00,9,12,@CIDRAP @imperialcollege,#Wuhan #coronavirus #nCoV #nCoV2019,,2020-1-19
1219012980907507713,martinrush22,WHO,Pretty sure I was suffering from Corona Virus yesterday! But nothing a berocca couldn’t fix followed by a few more Corona’s!! @JustinHealy1 @mickjcal #coronavirus,2020-01-19 21:45:17+00:00,0,4,@JustinHealy1 @mickjcal,#coronavirus,,2020-1-19
1219012934136934400,AffordableFamSC,,How to handwash? Use and water for at least 40-60 seconds How to handrub? Use alcohol-based handrub for 20-30 seconds #coronavirus ,2020-01-19 21:45:06+00:00,0,0,,#coronavirus,,2020-1-19
1219012770282209280,geniaphobic,,Not long before he's blamed for the #AustralianWildFires and #coronavirus. My bridge broke while biting into a plum last week. *shakes fist at brother-in-law who looks a bit like Corbyn. ,2020-01-19 21:44:27+00:00,3,6,,#AustralianWildFires #coronavirus,,2020-1-19
1219012542212608000,PneumoniaWuhan,,National Health Commission sends working groups to provinces across the country http://dlvr.it/RNM54H #chinapneumonia #coronavirus #nCov2019,2020-01-19 21:43:32+00:00,2,1,,#chinapneumonia #coronavirus #nCov2019,,2020-1-19
1219012541126344704,PneumoniaWuhan,,Guangdong confirmed a Wuhan linked case of pneumonia with a new coronavirus infection http://dlvr.it/RNM54B #chinapneumonia #coronavirus #nCov2019,2020-01-19 21:43:32+00:00,2,1,,#chinapneumonia #coronavirus #nCov2019,,2020-1-19
1219012539897397249,PneumoniaWuhan,,Wuhan pneumonia prevention program issued: fever patients must ask Wuhan travel history http://dlvr.it/RNM51m #chinapneumonia #coronavirus #nCov2019,2020-01-19 21:43:32+00:00,1,1,,#chinapneumonia #coronavirus #nCov2019,,2020-1-19
1219012264784809986,CIDRAP,,"Wuhan #nCoV outbreak quadruples, spreads within China http://ow.ly/NWK030qaECG #ncov2019 #Wuhan #coronavirus ",2020-01-19 21:42:26+00:00,22,17,,#nCoV #ncov2019 #Wuhan #coronavirus,,2020-1-19
1219010494117236736,jcheethamwriter,BNONews,#coronavirus ,2020-01-19 21:35:24+00:00,0,0,,#coronavirus,,2020-1-19
1219010067351162881,XavierAbadMdG,,"Una primera entrada amb dades i comentaris sobre aquest nou #coronavirus a #Wuhan, o #2019nCoV, agent causal de #pneumonia. Tot és #OneHealth al final. Comentaris virus-lents (228): Joc de trons; un altre virus reclama la corona.",2020-01-19 21:33:42+00:00,0,2,,#coronavirus #Wuhan #2019nCoV #pneumonia #OneHealth,,2020-1-19
1219010062838116353,JoeGarde,,#Coronavirus: China reports 17 new cases of Sars-like mystery virus cc @marynmck https://www.theguardian.com/world/2020/jan/19/coronavirus-china-reports-17-new-cases-of-sars-like-mystery-virus?,2020-01-19 21:33:41+00:00,0,1,@marynmck,#Coronavirus,,2020-1-19
1219009945951186947,globaltimesnews,,"#Breaking: 2 #pneumonia cases caused by new type of #coronavirus were confirmed Sunday in #Beijing. The patients, who had traveled to #Wuhan, are in stable condition. (Photo: VCG) https://globaltimes.cn/content/1177375.shtml",2020-01-19 21:33:13+00:00,13,18,,#Breaking #pneumonia #coronavirus #Beijing #Wuhan,,2020-1-19
1219009550168125440,V2019N,T_Inglesby,#nCoV #coronavirus #Wuhan ,2020-01-19 21:31:39+00:00,0,0,,#nCoV #coronavirus #Wuhan,,2020-1-19
1219009324757864449,V2019N,T_Inglesby,"Thread on #nCoV #coronavirus and update today from #Wuhan from Tom Inglesby, Director of Johns Hopkins University Center for Health Security",2020-01-19 21:30:45+00:00,1,0,,#nCoV #coronavirus #Wuhan,,2020-1-19
1219009296383475714,threader_app,ochovio,"Hello ochovio, the whole thread from @ZulmaCucunuba is compiled now. Read it here: https://threader.app/thread/1218539461111361541 #coronavirus #2019nCov #SARS #MERS #2019vCov",2020-01-19 21:30:39+00:00,1,3,@ZulmaCucunuba,#coronavirus #2019nCov #SARS #MERS #2019vCov,,2020-1-19
1219008893184905216,PneumoniaWuhan,,Wuhan: 136 new cases of coronavirus pneumonia and 1 death http://dlvr.it/RNM3d0 #chinapneumonia #coronavirus #nCov2019,2020-01-19 21:29:02+00:00,1,1,,#chinapneumonia #coronavirus #nCov2019,,2020-1-19
1219008891767230465,PneumoniaWuhan,,Beijing Daxing confirms 2 cases of pneumonia infected by new coronavirus http://dlvr.it/RNM3cQ #chinapneumonia #coronavirus #nCov2019,2020-01-19 21:29:02+00:00,0,1,,#chinapneumonia #coronavirus #nCov2019,,2020-1-19
1219008890366332929,PneumoniaWuhan,,Avian Flu Diary: Wuhan Health Commission: 136 New Coronavirus Cases Added (Ttl=198) http://dlvr.it/RNM3bV #chinapneumonia #coronavirus #nCov2019,2020-01-19 21:29:02+00:00,0,1,,#chinapneumonia #coronavirus #nCov2019,,2020-1-19
1219008738885079050,VaccinesTribune,,"COINCIDENCE!? #coronavirus ""With more than 15 million newborn babies in 2018, China has huge demand for vaccines targeting pneumonia, China approves home-grown vaccines, offering alternative to global drugmakers' products"" ",2020-01-19 21:28:26+00:00,0,0,,#coronavirus,,2020-1-19
1219008000142299142,VaccinesTribune,,"COINCIDENCE!!? #Coronavirus Virus? Soon after #Pneumonia #Vaccine Approval in China China approves home-grown vaccines, offering alternative to global drugmakers' products | SaltWire https://www.saltwire.com/news/world/china-approves-sales-of-first-domestically-developed-13-valent-pneumonia-vaccine-393018/#.XiTIo_F-39I.twitter",2020-01-19 21:25:29+00:00,0,0,,#Coronavirus #Pneumonia #Vaccine,,2020-1-19
1219005547346898946,lagbenjo,,"#coronavirus I do hope @Fmohnigeria @FAAN_Official @followlasg @NGRPresident are at ALERT to deal with this virus? We have tangible number of Chinese coming into Nigeria, as well as Nigerians going to China for business. Kindly act to prevent such in our nation.",2020-01-19 21:15:45+00:00,3,2,@Fmohnigeria @FAAN_Official @followlasg @NGRPresident,#coronavirus,,2020-1-19
1219005254337024008,Azeria64Azeria,,Utilisation de la technique RT-PCR pour les cas suspectés de #pneumonie à #coronavirus chinois #nCoV-2019,2020-01-19 21:14:35+00:00,0,0,,#pneumonie #coronavirus #nCoV,,2020-1-19
1219001784762499072,AdelleTech,,"Hetan Shah of #BritishAcademy may be right; Example, #coronavirus outbreak in a wholesale seafood market in #Wuhan &amp; the recent culling of pigs are all big global issues requiring 'all hands on the deck' approach, needing long term strategy for survival. https://www.nature.com/articles/d41586-020-00064-x",2020-01-19 21:00:48+00:00,0,2,,#BritishAcademy #coronavirus #Wuhan,,2020-1-19
1219001331563802624,martinlegues,ZulmaCucunuba,"La ciencia abierta ayuda a responder con agilidad a brotes de enfermedades como el de hace unos días en China, sobre el #coronavirus ",2020-01-19 20:59:00+00:00,0,1,,#coronavirus,,2020-1-19
1219000832093499392,DelilahVeronese,,@WHO: Throw the used tissue into a closed bin immediately after use Clean hands with soap and water or alcohol-based handrub after coughing or sneezing and when caring for the sick #coronavirus https://buff.ly/362RSEX,2020-01-19 20:57:00+00:00,0,0,@WHO,#coronavirus,,2020-1-19
1218998315028746240,DelilahVeronese,,@WHO: Protect others from getting sick: Completely cover your mouth &amp; nose with a tissue or a sleeve or flexed elbow when coughing or sneezing #coronavirus https://buff.ly/2TBSUoH,2020-01-19 20:47:00+00:00,0,0,@WHO,#coronavirus,,2020-1-19
1218998070538579968,Tara_Windwalker,,"Does this help explain new #coronavirus? | Scientists Found Ancient, Never-Before-Seen Viruses in a Glacier https://www.vice.com/en_us/article/pkebx9/scientists-found-ancient-never-before-seen-viruses-in-a-glacier?utm_campaign=sharebutton via @vice",2020-01-19 20:46:02+00:00,1,0,@VICE,#coronavirus,,2020-1-19
1218994923132735493,BrandonCholo,BNONews,#coronavirus #wuhan #china,2020-01-19 20:33:32+00:00,0,2,,#coronavirus #wuhan #china,,2020-1-19
1218994906154393600,BigMedicine,Laurie_Garrett,#WuhanPneumonia #Wuhan #EMS #coronavirus ,2020-01-19 20:33:28+00:00,0,0,,#WuhanPneumonia #Wuhan #EMS #coronavirus,,2020-1-19
1218994008019623936,vubblePOP,,"China reports new virus cases, raising concern globally https://tinyurl.com/rqdz33k via @globalnews #coronaviruses #coronavirus #health #China #Canada #medicine #influenza #healthcare #DiscoveryBoxCanada ",2020-01-19 20:29:53+00:00,0,0,@globalnews,#coronaviruses #coronavirus #health #China #Canada #medicine #influenza #healthcare #DiscoveryBoxCanada,,2020-1-19
1218993144542515201,XavierAbadMdG,WHO,"No està de més recordar conceptes, bons per a la feina, bons per a la cura del malalts, bons per a la llar, per no fer nosaltres de transmissors dels nostres propis patògens. #coronavirus #2019nCoV #Wuhan #Pneumonia",2020-01-19 20:26:28+00:00,4,5,,#coronavirus #2019nCoV #Wuhan #Pneumonia,,2020-1-19
1218991029891862528,XavierAbadMdG,greg_folkers,Això està creixent força...cert que ara sabem què estem cercant i ara es troba però els increments semblen massa grans per ser assignats tots a una millor i més efectiva recerca diagnòstica. #coronavirus #pneumonia #Wuhan #OneHealth,2020-01-19 20:18:03+00:00,0,1,,#coronavirus #pneumonia #Wuhan #OneHealth,,2020-1-19
1218989916841021446,vubblePOP,,Concerns that coronavirus could be more prevalent https://tinyurl.com/w9bc2mm via @CTVNews #Canada #Health #Coronavirus #influenza #China #healthcare #DiscoveryBoxCanada,2020-01-19 20:13:38+00:00,0,0,@CTVNews,#Canada #Health #Coronavirus #influenza #China #healthcare #DiscoveryBoxCanada,,2020-1-19
1218989757310611463,DelilahVeronese,,@WHO: How to handwash? Use and water for at least 40-60 seconds How to handrub? Use alcohol-based handrub for 20-30 seconds #coronavirus https://buff.ly/2R2jrde,2020-01-19 20:13:00+00:00,0,0,@WHO,#coronavirus,,2020-1-19
1218989343584530432,Goatys_News,,Statement by #Daxing Health #China #Coronavirus #Pneumonia #Infection #Fevers #Coughs #Fevers #Fatigue #PublicHealth #Health #nCoV2019 #2019nCoV #InfectiousDisease #Medicine #News/ cc @WHO,2020-01-19 20:11:21+00:00,1,1,@WHO,#Daxing #China #Coronavirus #Pneumonia #Infection #Fevers #Coughs #Fevers #Fatigue #PublicHealth #Health #nCoV2019 #2019nCoV #InfectiousDisease #Medicine #News,,2020-1-19
